idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
340,-157.7976,21.26055,0.09101,0.0,0.50437,0.17991,0.47619,0.08876,0.09538,0.5124,0.83869,0.02325,0.05368,0.45182,0.3231,0.25485
410,-157.82059,21.26776,0.1313,0.91871,0.3377,0.72034,0.0,0.72161,0.46661,0.57833,0.40406,0.09256,0.2357,0.38659,0.43182,0.43783
411,-157.81294,21.26778,0.1313,0.9466,0.60341,0.72034,0.0,0.72161,0.46661,0.57833,0.40406,0.09256,0.22739,0.98633,0.49211,0.49276
412,-157.80528,21.2678,0.09101,0.68428,0.32671,0.17991,0.47619,0.08876,0.09538,0.5124,0.83869,0.02325,0.05931,0.34489,0.35964,0.30785
413,-157.79763,21.26782,0.51155,0.86334,0.36912,0.3725,0.33305,0.77966,0.23626,0.56805,0.22034,0.17315,0.05523,0.47126,0.42903,0.43788
414,-157.78997,21.26785,0.09101,0.7967,0.46365,0.17991,0.47619,0.08876,0.09538,0.5124,0.83869,0.02325,0.0541,0.85996,0.41802,0.36362
415,-157.78232,21.26787,0.64722,0.85982,0.42744,0.16188,0.17244,0.58171,0.04001,0.67597,0.57312,0.43012,0.05368,0.50268,0.39835,0.40865
482,-157.83593,21.27498,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16852,0.15852
483,-157.82828,21.27501,0.02888,0.0,0.0,0.94773,0.0,0.98521,0.4366,0.48859,0.93928,0.0,1.0,0.0,0.41561,0.40378
484,-157.82062,21.27503,0.05847,0.95802,0.94421,0.88786,0.0,0.41321,0.05847,0.88138,0.97154,0.09834,0.61158,0.96238,0.63302,0.60763
485,-157.81296,21.27505,0.1685,0.66582,0.87151,0.57312,0.46464,0.52226,0.10609,0.74218,0.66484,0.21795,0.43576,0.714,0.52199,0.50366
486,-157.80531,21.27508,0.42406,0.54804,0.78078,0.53409,0.63159,0.47943,0.21414,0.76881,0.25965,0.18963,0.28515,0.7612,0.49308,0.45942
487,-157.79765,21.2751,0.60721,0.54804,0.64976,0.42942,0.24373,0.26979,0.08312,0.75387,0.37532,0.13187,0.10059,0.55607,0.398,0.36453
488,-157.78999,21.27512,0.51155,0.71823,0.62567,0.3725,0.33305,0.77966,0.23626,0.56805,0.22034,0.17315,0.10059,0.4783,0.40982,0.41533
489,-157.78234,21.27514,0.64722,0.6368,0.37884,0.16188,0.17244,0.58171,0.04001,0.67597,0.57312,0.43012,0.05382,0.43209,0.36757,0.37356
490,-157.77468,21.27517,0.64722,0.88433,0.47788,0.16188,0.17244,0.58171,0.04001,0.67597,0.57312,0.43012,0.05368,0.37123,0.39469,0.40686
491,-157.76703,21.27519,0.64722,0.95266,0.43336,0.16188,0.17244,0.58171,0.04001,0.67597,0.57312,0.43012,0.04536,0.66836,0.41713,0.42786
499,-157.70578,21.27536,0.08059,0.0,0.5248,0.08566,0.0,0.05579,0.05185,0.30304,0.51705,0.0355,0.23993,0.47535,0.22329,0.19956
500,-157.69812,21.27538,0.39744,0.59482,0.50958,0.23373,0.0,0.15371,0.37208,0.72063,0.16371,0.07101,0.0193,0.74134,0.34249,0.3094
555,-157.84361,21.28223,0.02888,0.96731,0.37757,0.94773,0.0,0.98521,0.4366,0.48859,0.93928,0.0,0.56692,0.35799,0.52249,0.52884
556,-157.83596,21.28226,0.02888,0.99887,0.34601,0.94773,0.0,0.98521,0.4366,0.48859,0.93928,0.0,0.56692,0.45013,0.55054,0.55668
