provider,lat,lon,num_stops_per_week,score
TheBus,21.26122,-157.81818,534.0,1.0
TheBus,21.26352,-157.81852,534.0,1.0
TheBus,21.26626,-157.81683,534.0,1.0
TheBus,21.26792,-157.81603,899.0,1.0
TheBus,21.27015,-157.81599,1514.0,2.0
TheBus,21.27224,-157.81646,1514.0,2.0
TheBus,21.27301,-157.8171,2660.0,2.0
TheBus,21.27202,-157.81989,2660.0,2.0
TheBus,21.27374,-157.82115,2460.0,2.0
TheBus,21.27579,-157.82265,2683.0,2.0
TheBus,21.27693,-157.82372,2460.0,2.0
TheBus,21.27831,-157.82481,2683.0,2.0
TheBus,21.28041,-157.82724,2683.0,2.0
TheBus,21.28138,-157.82834,2683.0,2.0
TheBus,21.28236,-157.82946,2460.0,2.0
TheBus,21.28415,-157.8316,1610.0,2.0
TheBus,21.28548,-157.83279,1610.0,2.0
TheBus,21.28703,-157.83366,1610.0,2.0
TheBus,21.29005,-157.83534,693.0,1.0
TheBus,21.29129,-157.83592,693.0,1.0
TheBus,21.29315,-157.83669,693.0,1.0
TheBus,21.29493,-157.83678,693.0,1.0
TheBus,21.29687,-157.83683,693.0,1.0
TheBus,21.29954,-157.83755,1863.0,2.0
TheBus,21.30012,-157.83915,1376.0,2.0
TheBus,21.30094,-157.84138,1376.0,2.0
TheBus,21.30222,-157.84491,1428.0,2.0
TheBus,21.30383,-157.84932,1376.0,2.0
TheBus,21.30502,-157.85257,1719.0,2.0
TheBus,21.30724,-157.85614,5688.0,4.0
TheBus,21.30871,-157.85937,2765.0,2.0
TheBus,21.3095,-157.86052,2542.0,2.0
TheBus,21.31044,-157.86149,2542.0,2.0
TheBus,21.31289,-157.86318,2542.0,2.0
TheBus,21.31595,-157.8642,2578.0,2.0
TheBus,21.31857,-157.86396,2231.0,2.0
TheBus,21.31971,-157.86246,1185.0,2.0
TheBus,21.32084,-157.86096,1185.0,2.0
TheBus,21.32176,-157.85976,484.0,1.0
TheBus,21.32283,-157.85845,484.0,1.0
TheBus,21.32384,-157.85713,488.0,1.0
TheBus,21.32482,-157.85589,488.0,1.0
TheBus,21.32551,-157.85502,488.0,1.0
TheBus,21.3267,-157.8536,484.0,1.0
TheBus,21.32746,-157.85302,612.0,1.0
TheBus,21.3288,-157.85145,612.0,1.0
TheBus,21.32972,-157.85015,612.0,1.0
TheBus,21.33053,-157.84897,612.0,1.0
TheBus,21.33308,-157.84749,957.0,1.0
TheBus,21.32193,-157.86014,717.0,1.0
TheBus,21.32464,-157.86168,717.0,1.0
TheBus,21.32642,-157.8627,717.0,1.0
TheBus,21.32759,-157.86337,717.0,1.0
TheBus,21.32907,-157.86424,717.0,1.0
TheBus,21.3301,-157.86482,717.0,1.0
TheBus,21.33181,-157.86605,717.0,1.0
TheBus,21.33411,-157.86787,717.0,1.0
TheBus,21.33575,-157.86917,717.0,1.0
TheBus,21.33706,-157.87065,717.0,1.0
TheBus,21.33794,-157.8719,717.0,1.0
TheBus,21.33952,-157.87329,717.0,1.0
TheBus,21.34092,-157.8744,717.0,1.0
TheBus,21.34229,-157.87825,912.0,1.0
TheBus,21.34128,-157.87964,912.0,1.0
TheBus,21.34058,-157.88049,912.0,1.0
TheBus,21.33843,-157.88303,912.0,1.0
TheBus,21.26967,-157.82112,838.0,1.0
TheBus,21.26952,-157.82066,464.0,1.0
TheBus,21.27797,-157.81395,1347.0,2.0
TheBus,21.27674,-157.81317,643.0,1.0
TheBus,21.27562,-157.81284,643.0,1.0
TheBus,21.2743,-157.81244,643.0,1.0
TheBus,21.27305,-157.81207,643.0,1.0
TheBus,21.27171,-157.81171,643.0,1.0
TheBus,21.26981,-157.8114,643.0,1.0
TheBus,21.26908,-157.81361,201.0,1.0
TheBus,21.33449,-157.84665,514.0,1.0
TheBus,21.33498,-157.84596,514.0,1.0
TheBus,21.33544,-157.8453,514.0,1.0
TheBus,21.33636,-157.84573,514.0,1.0
TheBus,21.33627,-157.84665,514.0,1.0
TheBus,21.33552,-157.84773,514.0,1.0
TheBus,21.33442,-157.84918,514.0,1.0
TheBus,21.33334,-157.85064,514.0,1.0
TheBus,21.33226,-157.84993,652.0,1.0
TheBus,21.33093,-157.84882,652.0,1.0
TheBus,21.3304,-157.84931,904.0,1.0
TheBus,21.3297,-157.8503,904.0,1.0
TheBus,21.32862,-157.85183,904.0,1.0
TheBus,21.32724,-157.85329,904.0,1.0
TheBus,21.32628,-157.85419,473.0,1.0
TheBus,21.32538,-157.85529,473.0,1.0
TheBus,21.32477,-157.85607,473.0,1.0
TheBus,21.32386,-157.85723,473.0,1.0
TheBus,21.3231,-157.85824,473.0,1.0
TheBus,21.32222,-157.85932,473.0,1.0
TheBus,21.32112,-157.86071,1208.0,2.0
TheBus,21.32025,-157.86187,1208.0,2.0
TheBus,21.31877,-157.86383,2277.0,2.0
TheBus,21.31682,-157.86433,2644.0,2.0
TheBus,21.31231,-157.86287,2549.0,2.0
TheBus,21.31059,-157.86167,2549.0,2.0
TheBus,21.30943,-157.86053,2549.0,2.0
TheBus,21.30831,-157.85889,2549.0,2.0
TheBus,21.3051,-157.85824,6124.0,4.0
TheBus,21.30363,-157.85525,1386.0,2.0
TheBus,21.30314,-157.8535,1436.0,2.0
TheBus,21.30165,-157.84934,1386.0,2.0
TheBus,21.30044,-157.84592,1436.0,2.0
TheBus,21.29986,-157.84422,1382.0,2.0
TheBus,21.29904,-157.84192,1382.0,2.0
TheBus,21.29836,-157.83998,1382.0,2.0
TheBus,21.2977,-157.83814,1382.0,2.0
TheBus,21.29654,-157.83706,703.0,1.0
TheBus,21.29543,-157.83704,703.0,1.0
TheBus,21.29295,-157.83687,703.0,1.0
TheBus,21.2907,-157.83586,703.0,1.0
TheBus,21.28728,-157.83404,1942.0,2.0
TheBus,21.28376,-157.83115,1649.0,2.0
TheBus,21.2815,-157.82858,2615.0,2.0
TheBus,21.27984,-157.82667,2615.0,2.0
TheBus,21.27746,-157.82428,2615.0,2.0
TheBus,21.27558,-157.82255,2615.0,2.0
TheBus,21.27401,-157.82142,2615.0,2.0
TheBus,21.27164,-157.82243,1632.0,2.0
TheBus,21.27078,-157.82243,530.0,1.0
TheBus,21.2663,-157.82137,530.0,1.0
TheBus,21.26188,-157.82033,530.0,1.0
TheBus,21.26023,-157.81937,530.0,1.0
TheBus,21.3362,-157.88615,2477.0,2.0
TheBus,21.33869,-157.88255,929.0,1.0
TheBus,21.3409,-157.87997,945.0,1.0
TheBus,21.34212,-157.87845,945.0,1.0
TheBus,21.33982,-157.87363,751.0,1.0
TheBus,21.33865,-157.87269,735.0,1.0
TheBus,21.33695,-157.87064,735.0,1.0
TheBus,21.33508,-157.86872,751.0,1.0
TheBus,21.33391,-157.86781,735.0,1.0
TheBus,21.33244,-157.86667,751.0,1.0
TheBus,21.33115,-157.86562,735.0,1.0
TheBus,21.32934,-157.86446,735.0,1.0
TheBus,21.32814,-157.86377,735.0,1.0
TheBus,21.32698,-157.86311,751.0,1.0
TheBus,21.32583,-157.86246,735.0,1.0
TheBus,21.32416,-157.8615,751.0,1.0
TheBus,21.30412,-157.85362,3310.0,3.0
TheBus,21.31407,-157.86215,386.0,1.0
TheBus,21.27296,-157.81705,1141.0,2.0
TheBus,21.27448,-157.81594,1347.0,2.0
TheBus,21.31303,-157.66312,447.0,1.0
TheBus,21.29701,-157.66255,123.0,1.0
TheBus,21.27705,-157.70605,302.0,1.0
TheBus,21.27919,-157.70856,302.0,1.0
TheBus,21.28227,-157.7134,302.0,1.0
TheBus,21.28303,-157.71499,302.0,1.0
TheBus,21.28446,-157.71707,133.0,1.0
TheBus,21.28575,-157.71909,133.0,1.0
TheBus,21.28616,-157.72297,435.0,1.0
TheBus,21.28574,-157.72467,435.0,1.0
TheBus,21.28306,-157.73046,435.0,1.0
TheBus,21.28216,-157.73459,435.0,1.0
TheBus,21.28093,-157.7392,412.0,1.0
TheBus,21.28051,-157.74273,412.0,1.0
TheBus,21.28008,-157.74451,412.0,1.0
TheBus,21.27885,-157.74936,412.0,1.0
TheBus,21.27839,-157.75194,129.0,1.0
TheBus,21.2781,-157.75442,129.0,1.0
TheBus,21.27724,-157.75803,508.0,1.0
TheBus,21.27633,-157.76383,508.0,1.0
TheBus,21.27624,-157.76758,508.0,1.0
TheBus,21.27675,-157.77037,508.0,1.0
TheBus,21.27709,-157.7723,508.0,1.0
TheBus,21.27745,-157.77472,508.0,1.0
TheBus,21.27763,-157.77641,514.0,1.0
TheBus,21.27828,-157.78144,953.0,1.0
TheBus,21.27765,-157.78475,369.0,1.0
TheBus,21.27512,-157.78514,357.0,1.0
TheBus,21.27296,-157.78586,353.0,1.0
TheBus,21.26965,-157.78887,225.0,1.0
TheBus,21.2698,-157.79369,201.0,1.0
TheBus,21.27042,-157.79754,1499.0,2.0
TheBus,21.26954,-157.79802,2151.0,2.0
TheBus,21.26803,-157.79895,1460.0,2.0
TheBus,21.26799,-157.80034,1460.0,2.0
TheBus,21.26939,-157.80223,1460.0,2.0
TheBus,21.2698,-157.80801,826.0,1.0
TheBus,21.26948,-157.81174,201.0,1.0
TheBus,21.28659,-157.83168,293.0,1.0
TheBus,21.26911,-157.81642,184.0,1.0
TheBus,21.26901,-157.81381,252.0,1.0
TheBus,21.26948,-157.8114,184.0,1.0
TheBus,21.26968,-157.80953,827.0,1.0
TheBus,21.26973,-157.80795,827.0,1.0
TheBus,21.26871,-157.80161,387.0,1.0
TheBus,21.26762,-157.80002,387.0,1.0
TheBus,21.26797,-157.79891,387.0,1.0
TheBus,21.27098,-157.79715,387.0,1.0
TheBus,21.26965,-157.79356,184.0,1.0
TheBus,21.26859,-157.79127,108.0,1.0
TheBus,21.26964,-157.78862,208.0,1.0
TheBus,21.2746,-157.78506,132.0,1.0
TheBus,21.27615,-157.78475,108.0,1.0
TheBus,21.27776,-157.78453,108.0,1.0
TheBus,21.27769,-157.77935,481.0,1.0
TheBus,21.27731,-157.77584,238.0,1.0
TheBus,21.2768,-157.77196,475.0,1.0
TheBus,21.27595,-157.76731,475.0,1.0
TheBus,21.27614,-157.76346,475.0,1.0
TheBus,21.27698,-157.75794,493.0,1.0
TheBus,21.2779,-157.75407,130.0,1.0
TheBus,21.27813,-157.7519,112.0,1.0
TheBus,21.27867,-157.74896,387.0,1.0
TheBus,21.28,-157.74396,385.0,1.0
TheBus,21.28073,-157.73902,385.0,1.0
TheBus,21.28217,-157.73361,202.0,1.0
TheBus,21.28283,-157.73036,403.0,1.0
TheBus,21.28537,-157.72515,403.0,1.0
TheBus,21.28592,-157.7229,403.0,1.0
TheBus,21.2858,-157.71982,114.0,1.0
TheBus,21.28277,-157.71493,289.0,1.0
TheBus,21.2803,-157.71004,289.0,1.0
TheBus,21.27929,-157.70884,289.0,1.0
TheBus,21.297,-157.66243,100.0,1.0
TheBus,21.2947,-157.68686,114.0,1.0
TheBus,21.29323,-157.68465,114.0,1.0
TheBus,21.29405,-157.67979,114.0,1.0
TheBus,21.2967,-157.6765,114.0,1.0
TheBus,21.29799,-157.67421,114.0,1.0
TheBus,21.29803,-157.67072,247.0,1.0
TheBus,21.3,-157.67079,247.0,1.0
TheBus,21.30146,-157.67107,247.0,1.0
TheBus,21.30272,-157.67174,247.0,1.0
TheBus,21.30052,-157.67296,247.0,1.0
TheBus,21.29841,-157.67344,247.0,1.0
TheBus,21.29339,-157.673,100.0,1.0
TheBus,21.29189,-157.67195,100.0,1.0
TheBus,21.29156,-157.66996,100.0,1.0
TheBus,21.29216,-157.66732,100.0,1.0
TheBus,21.29115,-157.66556,100.0,1.0
TheBus,21.28848,-157.82498,359.0,1.0
TheBus,21.2922,-157.82172,945.0,1.0
TheBus,21.29716,-157.82109,1021.0,1.0
TheBus,21.29914,-157.82136,389.0,1.0
TheBus,21.29938,-157.82431,389.0,1.0
TheBus,21.29934,-157.8269,389.0,1.0
TheBus,21.30018,-157.82827,389.0,1.0
TheBus,21.30169,-157.83056,389.0,1.0
TheBus,21.30262,-157.83197,389.0,1.0
TheBus,21.30381,-157.83458,389.0,1.0
TheBus,21.30459,-157.8361,389.0,1.0
TheBus,21.30539,-157.83763,389.0,1.0
TheBus,21.30658,-157.83992,589.0,1.0
TheBus,21.30709,-157.84153,603.0,1.0
TheBus,21.30565,-157.84298,407.0,1.0
