geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,prc_native_hi,prc_native_hi_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,turnout_tot_2016,vbm_tot_2020,turnout_tot_2020
15007040104,7.0,0.07193,1.0,0.91798,0.0,0.0,1.0,0.22338,0.0,0.02078,1.0,0.11948,0.0,0.0,1.0,0.00649,1.0,0.08312,1.0,0.44545,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00649,1.0,0.0,1.0,0.0,1.0,0.02987,1.0,0.01688,1.0,0.06494,1.0,0.0,1.0,0.0,1.0,0.03247,0.0,0.01033,0.0,0.0,1.0,0.02842,0.02236,1557.0,217.34589,7.1637,0.89509,0.59713,0.93597,0.70464
15007040105,7.0,0.07805,0.0,0.96692,0.0,0.07337,0.0,0.08203,0.0,0.07486,1.0,0.14162,0.0,0.00038,1.0,0.08901,0.0,0.00075,1.0,0.68263,0.0,0.0,1.0,0.00075,1.0,0.0,1.0,0.04846,1.0,0.0,1.0,0.01358,1.0,0.00321,1.0,0.0,1.0,0.1105,0.0,0.01942,1.0,0.0,1.0,0.00585,1.0,0.00943,1.0,0.0429,0.0,0.0,1.0,0.04975,0.08013,4391.0,118.70573,36.99063,,,0.91997,0.72078
15007040106,7.0,0.07805,0.0,0.96692,0.0,0.07337,0.0,0.08203,0.0,0.07486,1.0,0.14162,0.0,0.00038,1.0,0.08901,0.0,0.00075,1.0,0.68263,0.0,0.0,1.0,0.00075,1.0,0.0,1.0,0.04846,1.0,0.0,1.0,0.01358,1.0,0.00321,1.0,0.0,1.0,0.1105,0.0,0.01942,1.0,0.0,1.0,0.00585,1.0,0.00943,1.0,0.03241,0.0,0.02284,0.0,0.04629,0.03101,2154.0,9.54746,225.6098,,,0.93597,0.70464
15007040204,7.0,0.02846,1.0,0.9799,0.0,0.0828,0.0,0.05766,0.0,0.04314,1.0,0.17578,0.0,0.0,1.0,0.11836,0.0,0.00064,1.0,0.49511,0.0,0.0,1.0,0.00337,1.0,0.01171,1.0,0.05309,0.0,0.01941,1.0,0.0,1.0,0.0,1.0,0.01139,1.0,0.04491,0.0,0.115,0.0,0.0016,1.0,0.0,1.0,0.01299,1.0,0.09603,0.0,0.1936,0.0,0.01407,0.10648,5732.0,20.63361,277.7992,0.75412,0.6355,0.9172,0.75753
15007040205,7.0,0.02403,1.0,0.98632,0.0,0.06876,0.0,0.09678,0.0,0.05715,1.0,0.2133,0.0,0.00454,1.0,0.14754,0.0,0.00502,1.0,0.39311,0.0,0.0012,1.0,0.0012,1.0,0.01076,1.0,0.03061,1.0,0.05213,1.0,0.0,1.0,0.0,1.0,0.01004,1.0,0.04089,1.0,0.14084,0.0,0.0,1.0,0.0,1.0,0.08369,0.0,0.06394,0.0,0.139,0.0,0.05685,0.06707,4069.0,17.04472,238.72494,0.7543,0.61491,0.92466,0.73556
15007040301,7.0,0.12241,0.0,0.98372,0.0,0.02721,1.0,0.09594,0.0,0.03246,1.0,0.31774,0.0,0.00331,1.0,0.07496,0.0,0.00367,1.0,0.33905,0.0,0.0,1.0,0.00563,1.0,0.0,1.0,0.00539,1.0,0.00857,1.0,0.0,1.0,0.00674,1.0,0.0267,1.0,0.24265,0.0,0.06149,0.0,0.00465,1.0,0.0,1.0,0.03846,0.0,0.08221,0.0,0.0,1.0,0.01042,0.09986,6834.0,6.03704,1132.01092,,,0.92014,0.69999
15007040302,7.0,0.12241,0.0,0.98372,0.0,0.02721,1.0,0.09594,0.0,0.03246,1.0,0.31774,0.0,0.00331,1.0,0.07496,0.0,0.00367,1.0,0.33905,0.0,0.0,1.0,0.00563,1.0,0.0,1.0,0.00539,1.0,0.00857,1.0,0.0,1.0,0.00674,1.0,0.0267,1.0,0.24265,0.0,0.06149,0.0,0.00465,1.0,0.0,1.0,0.03846,0.0,0.0294,0.0,0.08793,0.0,0.06012,0.03084,2124.0,5.6115,378.50856,,,0.92487,0.70525
15007040401,7.0,0.14933,0.0,0.96205,0.0,0.08472,0.0,0.04994,0.0,0.06154,0.0,0.47944,0.0,0.00451,1.0,0.08408,0.0,0.00147,1.0,0.13651,0.0,0.00331,1.0,0.0,1.0,0.0,1.0,0.03422,0.0,0.01886,0.0,0.00156,1.0,0.00064,1.0,0.00322,1.0,0.37595,0.0,0.08444,0.0,0.00267,1.0,0.0,1.0,0.06917,0.0,0.09863,0.0,0.25357,0.0,0.03392,0.09287,7316.0,207.35694,35.28216,,,0.91689,0.69688
15007040402,7.0,0.14933,0.0,0.96205,0.0,0.08472,0.0,0.04994,0.0,0.06154,0.0,0.47944,0.0,0.00451,1.0,0.08408,0.0,0.00147,1.0,0.13651,0.0,0.00331,1.0,0.0,1.0,0.0,1.0,0.03422,0.0,0.01886,0.0,0.00156,1.0,0.00064,1.0,0.00322,1.0,0.37595,0.0,0.08444,0.0,0.00267,1.0,0.0,1.0,0.06917,0.0,0.0439,0.0,0.0407,0.0,0.10058,0.04404,3149.0,6.27678,501.69065,,,0.93338,0.72069
15007040500,7.0,0.1124,0.0,0.96046,0.0,0.07251,1.0,0.04061,0.0,0.06404,1.0,0.43199,0.0,0.01573,1.0,0.12992,0.0,0.00836,1.0,0.20275,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01091,1.0,0.06234,1.0,0.0,1.0,0.00227,1.0,0.01048,1.0,0.28053,0.0,0.13134,0.0,0.00184,1.0,0.0,1.0,0.0289,1.0,0.0948,0.0,0.1347,0.0,0.28926,0.08729,6414.0,19.75992,324.5964,0.75558,0.63871,0.93397,0.73389
