lat,lon
21.97339,-159.72169
21.97156,-159.71983
21.97007,-159.71755
21.96827,-159.71477
21.96596,-159.71108
21.96316,-159.70704
21.95434,-159.66666
21.90801,-159.59445
21.9092,-159.5883
21.92501,-159.52739
21.96733,-159.39447
22.00145,-159.76139
21.98305,-159.74285
21.96905,-159.71579
21.96331,-159.7029
21.96091,-159.67124
21.95893,-159.67415
21.95871,-159.67405
21.95759,-159.67047
21.93491,-159.64408
21.9165,-159.61734
21.90336,-159.58606
21.89979,-159.56136
21.9236,-159.53577
21.92254,-159.5292
21.92289,-159.5231
21.98493,-159.36892
21.9231,-159.50093
21.97016,-159.38587
21.96874,-159.39719
21.92324,-159.5013
21.90842,-159.5797
21.90938,-159.58762
21.90808,-159.59499
21.95444,-159.66654
21.96343,-159.70724
21.96593,-159.71117
21.96834,-159.71473
21.9701,-159.71744
21.97154,-159.71964
21.97346,-159.72151
21.92502,-159.52721
21.969,-159.38802
21.96767,-159.39449
21.90353,-159.46686
21.90363,-159.46388
21.89862,-159.46619
21.88408,-159.46804
21.87876,-159.46074
21.87676,-159.45409
21.87641,-159.44601
21.90503,-159.46383
21.90856,-159.4655
21.91809,-159.49817
22.20298,-159.49585
22.21308,-159.47303
22.20692,-159.41191
22.1448,-159.31513
22.13782,-159.30535
22.09808,-159.30593
22.07363,-159.3193
22.06889,-159.31951
22.06408,-159.31966
22.05222,-159.3335
21.99586,-159.35299
21.99362,-159.35692
22.20177,-159.50081
22.21044,-159.41529
22.2119,-159.40619
22.17967,-159.33119
22.08401,-159.31073
22.07704,-159.32178
22.07969,-159.31451
21.99337,-159.35716
21.99576,-159.35276
22.05305,-159.3324
22.05403,-159.32828
22.06184,-159.32036
22.07062,-159.31944
22.07358,-159.31913
22.09866,-159.30551
22.13801,-159.30527
22.1445,-159.31484
22.20732,-159.41183
22.21316,-159.47409
22.20273,-159.49752
22.07781,-159.31612
22.07978,-159.31428
22.08795,-159.31326
22.09082,-159.31466
22.09884,-159.33404
22.09972,-159.34706
22.0958,-159.3272
22.09438,-159.32146
22.0879,-159.3142
22.07888,-159.32714
22.09861,-159.33384
21.97161,-159.37716
21.95914,-159.35353
21.95927,-159.36025
21.97732,-159.35019
21.97914,-159.34824
21.97662,-159.35392
21.96913,-159.36007
21.97056,-159.36238
21.97394,-159.3637
21.97766,-159.36993
21.97322,-159.36584
21.96906,-159.36023
21.95886,-159.35374
21.97309,-159.3659
21.9705,-159.36249
22.0574,-159.36902
22.05542,-159.34419
21.96999,-159.38056
21.97609,-159.36765
21.98315,-159.36525
21.98518,-159.36595
21.98435,-159.36666
21.98276,-159.36727
