,osm_id,code,fclass,name,lon,lat
0,367803588,2009,courthouse,Maui County Courthouse,-156.50427,20.8858
1,367803617,2007,library,Moloka‘i Public Library,-157.02528,21.09333
2,367803681,2007,library,Wailuku Public Library,-156.50778,20.88833
3,367803708,2007,library,Lāna‘i Public and School Library,-156.92528,20.82944
4,367803709,2007,library,Lahaina Public Library,-156.67834,20.87275
5,2681662355,2007,library,Hana Library,-155.99903,20.77767
6,2936449725,2007,library,Kahului Public Library,-156.47034,20.8876
7,4527533766,2005,post_office,United States Post Office,-155.98757,20.75067
8,4592196475,2005,post_office,United States Post Office,-156.31298,20.85232
9,4842908337,2001,police,Hana Police Station,-155.99352,20.76302
10,4842908338,2002,fire_station,Hana Fire Station,-155.99318,20.76191
11,4887151378,2005,post_office,United States Post Office,-157.01973,21.09056
12,5427848320,2005,post_office,Hoolehua united states postal service,-157.06894,21.16691
13,5548802706,2007,library,Wailuku Public Library,-156.50496,20.88516
14,5574949051,2005,post_office,United States Post Office,-156.45612,20.74985
15,8370122932,2005,post_office,United States Post Office,-156.45399,20.86951
16,8394504568,2002,fire_station,Old Stone Fire Station,-156.9827,21.19092
17,8394504570,2005,post_office,United States Post Office,-156.98362,21.19024
18,8416744051,2005,post_office,,-156.32838,20.76665
